"","Day.x","Mouse_ID","Eotaxin..74.","G.CSF..54.","GM.CSF..73.","IFNg..34.","IL.10..56.","IL.12p40..76.","IL.12p70..78.","IL.13..37.","IL.17A..72.","IL.1b..19.","IL.2..36.","IL.3..18.","IL.4..39.","IL.5..52.","IL.6..38.","IL.9..33.","IL.1a..53.","KC..57.","MCP.1..51.","MIP.1B..75.","MIP.1a..77.","RANTES..55.","TNFa..21.","Severity","Sex"
"83",0,85,3499.50248756219,42.2885572139303,0,135.074626865672,0,442.28855721393,1029.10447761194,425.124378109453,63.9303482587065,18.407960199005,100.248756218905,14.9253731343284,14.6766169154229,39.8009950248756,160.199004975124,0,154.228855721393,317.661691542289,3792.53731343284,540.049751243781,63.18407960199,4569.90049751244,188.805970149254,"severe","Female"
"84",0,86,3596.71232876712,0,0,139.178082191781,0,1339.17808219178,1475.61643835616,283.835616438356,30.4109589041096,12.0547945205479,93.4246575342466,8.76712328767123,22.4657534246575,54.7945205479452,192.054794520548,0,158.630136986301,456.986301369863,3188.76712328767,1120.82191780822,141.917808219178,5745.75342465753,253.698630136986,"severe","Female"
"85",0,87,3891.69675090253,0,0,170.397111913357,0,1458.84476534296,1144.40433212996,374.007220216606,62.0938628158845,15.884476534296,145.487364620939,14.8014440433213,12.6353790613718,42.9602888086643,154.512635379061,0,163.537906137184,345.126353790614,3142.59927797834,690.252707581227,110.469314079422,5879.06137184116,393.862815884477,"severe","Female"
"86",0,88,1393.48370927318,0,0,0,0,165.664160401003,547.619047619048,0,0,0,53.1328320802005,0,0,0,96.9924812030075,0,69.4235588972431,196.240601503759,0,575.438596491228,119.799498746867,5987.4686716792,13.2832080200501,"severe","Female"
"87",0,89,3618.6119873817,0,0,137.539432176656,0,1200.94637223975,1188.32807570978,435.015772870662,63.0914826498423,32.807570977918,146.372239747634,18.9274447949527,18.6119873817035,50.4731861198738,160.252365930599,0,171.608832807571,584.542586750789,4075.70977917981,799.684542586751,129.022082018927,7504.10094637224,344.16403785489,"severe","Female"
"88",0,90,1770.62146892655,0,0,102.25988700565,0,885.593220338983,1147.74011299435,292.655367231638,35.3107344632768,3.67231638418079,113.841807909605,11.5819209039548,2.82485875706215,22.0338983050847,162.994350282486,0,78.2485875706215,270.056497175141,278.813559322034,0,56.4971751412429,3426.27118644068,261.581920903955,"mild","Female"
"89",3,91,4989.34169278997,508.150470219436,298.746081504702,1210.65830721003,520.689655172414,1242.3197492163,2281.19122257053,3331.03448275862,73.0407523510972,121.003134796238,2067.39811912226,18.8087774294671,98.7460815047022,271.159874608151,434.169278996865,2196.55172413793,615.047021943574,899.373040752351,2728.84012539185,1453.91849529781,119.122257053292,4488.4012539185,1565.20376175549,"mild","Female"
"90",3,92,3166.87697160883,107.255520504732,0,248.264984227129,0,1274.76340694006,2249.84227129338,435.015772870662,63.0914826498423,18.6119873817035,193.690851735016,27.7602523659306,33.1230283911672,56.782334384858,256.782334384858,0,208.201892744479,892.429022082019,7575.39432176656,3145.42586750789,522.397476340694,10658.0441640379,447.003154574133,"mild","Female"
"91",3,93,1968.96551724138,499.20424403183,0,280.901856763926,0,2115.38461538462,1350.92838196286,365.7824933687,44.5623342175066,42.9708222811671,261.538461538461,20.9549071618037,27.8514588859416,74.5358090185676,353.580901856764,118.037135278515,200,1652.5198938992,17528.1167108753,3344.56233421751,1013.79310344828,8284.88063660477,332.89124668435,"severe","Female"
"92",3,94,3270.97457627119,137.923728813559,0,451.906779661017,0,905.296610169491,1048.09322033898,1053.81355932203,50.4237288135593,34.3220338983051,585.169491525424,16.7372881355932,26.9067796610169,33.8983050847458,124.152542372881,1412.28813559322,307.415254237288,607.838983050847,4828.38983050847,1056.35593220339,188.983050847458,6586.86440677966,569.491525423729,"mild","Female"
"93",3,95,4049.35483870968,607.096774193548,0,667.741935483871,130,2725.16129032258,1784.51612903226,2475.8064516129,52.5806451612903,88.7096774193548,866.774193548387,25.4838709677419,48.0645161290323,77.741935483871,543.225806451613,1287.74193548387,424.516129032258,2292.58064516129,27273.2258064516,3606.12903225806,793.548387096774,10450.9677419355,1117.41935483871,"severe","Female"
"94",3,96,3849.45945945946,254.324324324324,0,198.918918918919,0,2391.08108108108,1098.10810810811,372.702702702703,66.7567567567568,24.0540540540541,108.918918918919,16.2162162162162,15.9459459459459,43.2432432432432,181.891891891892,0,203.783783783784,860.27027027027,10242.1621621622,3437.83783783784,714.054054054054,11429.4594594595,339.189189189189,"severe","Female"
"95",3,97,2602.93453724605,511.286681715576,0,741.534988713318,362.7539503386,3769.75169300226,1511.7381489842,1309.7065462754,41.0835214446953,81.038374717833,915.349887133183,24.1534988713318,54.8532731376975,76.7494356659142,438.82618510158,1554.40180586907,420.090293453725,1333.63431151242,20574.4920993228,8001.58013544018,1876.5237020316,12679.006772009,886.230248306998,"mild","Female"
"96",3,98,4365.43624161074,167.44966442953,0,252.684563758389,0,984.563758389262,1856.37583892617,462.751677852349,57.7181208053691,24.8322147651007,312.080536912752,20.1342281879195,19.7986577181208,53.6912751677852,459.060402684564,0,253.020134228188,1343.28859060403,12315.7718120805,3091.61073825503,532.885906040269,10942.9530201342,366.107382550336,"severe","Female"
"97",3,99,2478.1746031746,1289.68253968254,0,257.539682539683,28.968253968254,4009.92063492063,1582.93650793651,411.111111111111,46.031746031746,52.7777777777778,543.253968253968,8.73015873015873,0,95.6349206349206,921.825396825397,102.380952380952,325.396825396825,2083.73015873016,28808.3333333333,5834.52380952381,1200.39682539683,10481.3492063492,432.936507936508,"severe","Female"
"98",3,100,3673.56948228883,46.3215258855586,0,324.795640326975,19.8910081743869,1568.93732970027,1407.62942779292,509.536784741144,57.2207084468665,32.1525885558583,343.596730245232,16.3487738419619,34.6049046321526,43.5967302452316,206.539509536785,524.795640326975,329.700272479564,919.346049046321,10644.9591280654,2184.74114441417,467.574931880109,4484.1961852861,473.841961852861,"severe","Female"
"99",3,101,4081.02893890675,728.295819935691,0,788.102893890675,217.041800643087,2127.33118971061,1825.72347266881,1644.05144694534,74.91961414791,106.430868167203,1327.00964630225,19.2926045016077,33.7620578778135,90.3536977491961,436.977491961415,1645.33762057878,579.099678456592,1072.66881028939,12747.2668810289,5296.46302250804,919.614147909968,5960.12861736334,964.308681672026,"severe","Female"
"100",3,102,1816.99346405229,111.111111111111,0,223.529411764706,0,411.111111111111,1760.13071895425,338.562091503268,56.2091503267974,24.1830065359477,456.209150326797,16.6666666666667,26.797385620915,52.2875816993464,250.653594771242,0,211.437908496732,450.326797385621,2844.77124183007,1427.77777777778,236.601307189542,5151.6339869281,410.130718954248,"severe","Female"
