Lung_weight,Lung_weight_x_100,Mouse_ID,Day.x,Eotaxin (74),G-CSF (54),GM-CSF (73),IFNg (34),IL-10 (56),IL-12p40 (76),IL-12p70 (78),IL-13 (37),IL-17A (72),IL-1a (53),IL-1b (19),IL-2 (36),IL-3 (18),IL-4 (39),IL-5 (52),IL-6 (38),IL-9 (33),KC (57),MCP-1 (51),MIP-1B (75),MIP-1a (77),RANTES (55),TNFa (21),Day.y,BAL Cell counts,Hysteresis,BAL protein,Viral Burden,Days,Day 3,Day 4,Day 5,Day 7,Day 8
27.7,0.0277,12,0,3891.696751,0,0,170.3971119,0,1458.844765,1144.404332,374.0072202,62.09386282,163.5379061,15.88447653,145.4873646,14.80144404,12.63537906,42.96028881,154.5126354,0,345.1263538,3142.599278,690.2527076,110.4693141,5879.061372,393.8628159,Day 0,90000,0.845444199,334.5833333,0.857867511,Day 0,112.9496403,117.2661871,118.705036,124.4604317,0
39.9,0.0399,13,0,1393.483709,0,0,0,0,165.6641604,547.6190476,0,0,69.4235589,0,53.13283208,0,0,0,96.9924812,0,196.2406015,0,575.4385965,119.7994987,5987.468672,13.28320802,Day 0,140000,1.222660264,124.5833333,0.607656159,Day 0,111.5384615,113.7362637,116.4835165,121.4285714,0
31.7,0.0317,14,0,3618.611987,0,0,137.5394322,0,1200.946372,1188.328076,435.0157729,63.09148265,171.6088328,32.80757098,146.3722397,18.92744479,18.61198738,50.47318612,160.2523659,0,584.5425868,4075.709779,799.6845426,129.022082,7504.100946,344.1640379,Day 0,80000,1.686859612,114.1666667,NA,Day 0,115.5440415,116.5803109,119.1709845,119.6891192,0
35.4,0.0354,15,0,1770.621469,0,0,102.259887,0,885.5932203,1147.740113,292.6553672,35.31073446,78.24858757,3.672316384,113.8418079,11.5819209,2.824858757,22.03389831,162.9943503,0,270.0564972,278.8135593,0,56.49717514,3426.271186,261.5819209,Day 0,50000,0.987845011,270.8333333,NA,Day 0,104.6666667,108,110,115.3333333,0
31.9,0.0319,16,3,4989.341693,508.1504702,298.7460815,1210.658307,520.6896552,1242.319749,2281.191223,3331.034483,73.04075235,615.0470219,121.0031348,2067.398119,18.80877743,98.7460815,271.1598746,434.169279,2196.551724,899.3730408,2728.840125,1453.918495,119.1222571,4488.401254,1565.203762,Day 3,50000,1.433411711,198.3333333,2353.0959,Day 3,116.9230769,0,0,0,0
31.7,0.0317,17,3,3166.876972,107.2555205,0,248.2649842,0,1274.763407,2249.842271,435.0157729,63.09148265,208.2018927,18.61198738,193.6908517,27.76025237,33.12302839,56.78233438,256.7823344,0,892.4290221,7575.394322,3145.425868,522.3974763,10658.04416,447.0031546,Day 3,170000,1.724265826,121.25,184988.4639,Day 3,114.556962,0,0,0,0
37.7,0.0377,18,3,1968.965517,499.204244,0,280.9018568,0,2115.384615,1350.928382,365.7824934,44.56233422,200,42.97082228,261.5384615,20.95490716,27.85145889,74.53580902,353.5809019,118.0371353,1652.519894,17528.11671,3344.562334,1013.793103,8284.880637,332.8912467,Day 3,110000,1.355150928,360.4166667,4616685.53,Day 3,105.2287582,0,0,0,0
47.2,0.0472,19,3,3270.974576,137.9237288,0,451.9067797,0,905.2966102,1048.09322,1053.813559,50.42372881,307.4152542,34.3220339,585.1694915,16.73728814,26.90677966,33.89830508,124.1525424,1412.288136,607.8389831,4828.389831,1056.355932,188.9830508,6586.864407,569.4915254,Day 3,150000,0.951247786,371.25,4032918.485,Day 3,121.8487395,0,0,0,0
31,0.031,20,3,4049.354839,607.0967742,0,667.7419355,130,2725.16129,1784.516129,2475.806452,52.58064516,424.516129,88.70967742,866.7741935,25.48387097,48.06451613,77.74193548,543.2258065,1287.741935,2292.580645,27273.22581,3606.129032,793.5483871,10450.96774,1117.419355,Day 3,300000,1.101010661,186.6666667,108701320.8,Day 3,120.1298701,0,0,0,0
37,0.037,21,3,3849.459459,254.3243243,0,198.9189189,0,2391.081081,1098.108108,372.7027027,66.75675676,203.7837838,24.05405405,108.9189189,16.21621622,15.94594595,43.24324324,181.8918919,0,860.2702703,10242.16216,3437.837838,714.0540541,11429.45946,339.1891892,Day 3,280000,1.399282383,177.0833333,22560728.7,Day 3,114.0350877,0,0,0,0
